,name,address,distance,rating,bike_lat,bike_lon
0,The Lovinspoon,13 N Frederick Street,331.7456959641861,4.6,53.354929,-6.269425
1,La Pausa Cafe,1-B Blessington Street,287.41146119454083,5.0,53.354929,-6.269425
2,Candy Café,Gardiner Row,421.88250482581594,3.6,53.354929,-6.269425
3,Bleecker Street Cafe Bar,68 Dorset Street,421.2579668805471,4.6,53.354929,-6.269425
4,Crispers Coffee Shop,6 Berkeley Road,359.00515067460344,3.0,53.354929,-6.269425
5,Blas Café,26 King's Inns Street,415.3544712543576,4.3,53.354929,-6.269425
6,DELISUZ,58a Blessington Street,209.92090121306128,4.7,53.354929,-6.269425
7,Hugh Lane Cafe,Hugh Lane Gallery,327.361078324927,2.5,53.354929,-6.269425
8,Clement & Pekoe Stores,24/25 Blessington Street,241.01531447796427,4.0,53.354929,-6.269425
9,In Cahoots,166-168 Parnell St,528.613970064694,3.6,53.354929,-6.269425
10,Declans Sandwich Bar,34 Bolton Street,248.38395444110714,5.0,53.354929,-6.269425
11,Blue Skies Cafe,61 Bolton St,399.0259181733256,0.0,53.354929,-6.269425
12,Tastei Citchen,15 Berkeley Rd,419.0788745856329,4.0,53.354929,-6.269425
13,La Vita Cafe,77a Dorset Street Upper,408.9184338712716,3.0,53.354929,-6.269425
14,Tasty Options,112 Dorset st Lr,489.4215450165215,3.3,53.354929,-6.269425
15,Zagros,1b Blessington Street Dublin 1,301.42907947635865,5.0,53.354929,-6.269425
16,Hatch & Sons,"The Hugh Lane, Charlemont House",326.396112374382,4.0,53.354929,-6.269425
17,Quigley's,13-15 Moore Street,678.4888138344596,0.0,53.354929,-6.269425
18,Skelligs Internet Cafe,39 Mountjoy Street,109.44085168805371,0.0,53.354929,-6.269425
19,Café Rotunda,The Rotunda Hospital,466.7970181401431,3.5,53.354929,-6.269425
20,Esquires Coffee,Unit 56 & 57 Central Mall ILAC Shopping Centre,627.1256547349066,3.6,53.354929,-6.269425
21,Access Cyber Cafe,168 Parnell Street,526.3762438498101,0.0,53.354929,-6.269425
22,The Dorset,87 Upper Dorset Street,341.92696332270384,0.0,53.354929,-6.269425
23,Pascals Chipper,67 Mountjoy Street,185.63791906398174,0.0,53.354929,-6.269425
24,Simply Delicious,77a Upper Dorset Street,408.9184338712716,1.0,53.354929,-6.269425
25,Sugar House Xpress,1a Blessington Street,303.9501151165036,0.0,53.354929,-6.269425
26,Canajun Cafe,6 Berkeley Road,359.00515067460344,1.0,53.354929,-6.269425
27,Happy Time Cafe,2nd Floor 20 Moore Street,648.2407432425169,0.0,53.354929,-6.269425
28,Bennys Chicken,34 Bolton Street,248.1290848843809,0.0,53.354929,-6.269425
29,Frederick Cafe,13 Nth Frederick Street,331.7308658252863,0.0,53.354929,-6.269425
30,Deli Baby,46 Bolton Street,324.3997931370859,0.0,53.354929,-6.269425
31,Eccles Townhouse,Eccles Street,420.369152508334,0.0,53.354929,-6.269425
32,candy cafe,parnell square,390.83552007822277,3.0,53.354929,-6.269425
33,The Bakehouse,6 Bachelors Walk,280.50430511825465,4.3,53.349013,-6.260311
34,The Hot Donut,6 Upper O'Connell St,134.347322517913,4.6,53.349013,-6.260311
35,The Art Of Coffee,Unit 10 GPO Arcade,88.26975615825938,4.4,53.349013,-6.260311
36,Art Cafe Dublin,1 Frenchman's Lane,438.7529167447149,4.3,53.349013,-6.260311
37,Starbucks,56 Lower O'Connell Street,82.22825163747483,3.8,53.349013,-6.260311
38,The Vintage Teapot,8 Cathedral Street,152.02029373339826,3.8,53.349013,-6.260311
39,Cafe Nero,9 O'Connell Street Upper,175.89208361097317,3.4,53.349013,-6.260311
40,Shoe Lane Coffee,7 Tara Street,392.1280467838594,4.8,53.349013,-6.260311
41,Panem,Halfpenny Bridge House,458.25902407409757,4.6,53.349013,-6.260311
42,Insomnia,Spar Capel Street,88.09968492668584,4.5,53.349013,-6.260311
43,The Pieman Cafe,14a Crown Alley,465.901624038666,4.5,53.349013,-6.260311
44,Insomnia,7 Abbey Street Upper,391.4793081030666,4.3,53.349013,-6.260311
45,Cocobrew,5 Bedford Row,356.8626941639459,4.7,53.349013,-6.260311
46,Frank And Honest Gourmet Coffee Shop,Aston Pl,299.322571450449,3.7,53.349013,-6.260311
47,Butlers Chocolate Café,31 Henry Street,77.41406497530653,4.1,53.349013,-6.260311
48,The Wooden Whisk,94 Talbot Street,290.0839964293525,4.2,53.349013,-6.260311
49,Starbucks,8 Earl Street  N,135.2754501653421,4.0,53.349013,-6.260311
50,Butlers Choclate Café,4 Lower Liffey Street,290.8841046124936,4.6,53.349013,-6.260311
51,Mind The Step Cafe,24 Strand Street Great,390.8242372671664,4.5,53.349013,-6.260311
52,9th Degree Coffee Roasters,28 Westmoreland St,319.6743902213085,4.5,53.349013,-6.260311
53,The Atrium Lounge,Westmoreland Street,393.3310534320387,4.6,53.349013,-6.260311
54,F Ronan,24 Eden Quay,276.921648506093,5.0,53.349013,-6.260311
55,The Earl,Earl Street North,147.27290553284988,3.8,53.349013,-6.260311
56,Stage Door Café,11-12 E Essex St,560.7288647898373,4.6,53.349013,-6.260311
57,Costa Coffee,30 Essex Street,515.0464845767017,4.6,53.349013,-6.260311
58,Cafe Nero,22-23 Temple Bar,381.931814050271,4.7,53.349013,-6.260311
59,Vice Coffee,54 Middle Abbey Street,174.84578748627524,4.3,53.349013,-6.260311
60,Lemon Jelly Cafe,Jervis Street,393.3240383511022,4.0,53.349013,-6.260311
61,Fonte Coffee,36 Parliament Street,699.8358935504251,4.8,53.349013,-6.260311
62,Mochaland Cafe,20-24 Lower Ormond Quay,475.72687638208146,4.2,53.349013,-6.260311
63,TJ's Coffee Bar,79 Parnell St,416.69535374845873,4.3,53.349013,-6.260311
64,The Tram Cafe,1 Wolfe Tone Square W,451.44827252527125,3.8,53.349013,-6.260311
65,Caffe Cagliostro,Bloom's Lane,428.79683299737735,4.0,53.349013,-6.260311
66,Gallaher & Co,16A D'Olier Street,394.19389925387554,3.4,53.349013,-6.260311
67,O'Briens Irish Sandwich Bar,Unit 1,88.09968492668584,5.0,53.349013,-6.260311
68,Hanley's Cornish Pasties,2 Merchants Arch,398.87989016751845,4.3,53.349013,-6.260311
69,The Joy of Cha,10 Essex Street E,576.9606459036646,4.1,53.349013,-6.260311
70,Debenhams Cafe,54-62 Henry Street,157.9116259529696,4.0,53.349013,-6.260311
71,Christophes,Duck Lane,50.11927238613377,3.1,53.349013,-6.260311
72,Bean & Gone,Connolly Station,50.11927238613377,2.3,53.349013,-6.260311
73,The Ink Factory,15 Wellington Quay,531.356494625603,4.1,53.349013,-6.260311
74,Costa Coffee,3 College Green,513.9648331363925,3.5,53.349013,-6.260311
75,DwarfJar,1 Wellington Quay,628.2521562719559,3.8,53.349013,-6.260311
76,Smock Alley Café,3-4 Smock Alley Ct,88.09968492668584,4.0,53.349013,-6.260311
77,Brick Alley Cafe,25 E Essex Street,530.9385598223637,3.3,53.349013,-6.260311
78,Irish Film Institute,6 Eustace Street,572.4579203401157,4.3,53.349013,-6.260311
79,Tea Garden,7 Lower Ormond Quay,537.1882546833627,4.2,53.349013,-6.260311
80,Cruises Coffee,28 North Lotts,161.1663189354623,3.0,53.349013,-6.260311
81,Lily's Cafe,3A Cavendish Row,440.9179506905296,4.6,53.349013,-6.260311
